Time (h),miR-200,ZEB mRNA ,miR-34,SNAIL mRNA,Signal driving SNAIL
2.28,5563.656199,542.8045154,1946.532504,372.6907166,50000
2.29,5562.746939,543.4425029,1953.398361,373.1958174,50000
2.3,5561.8231,544.0778367,1960.258019,373.6971789,50000
2.31,5560.884838,544.7104871,1967.111529,374.1948432,50000
2.32,5559.932311,545.3404242,1973.958941,374.6888522,50000
2.33,5558.965675,545.9676183,1980.800306,375.1792478,50000
2.34,5557.985087,546.5920394,1987.635675,375.6660721,50000
2.35,5556.990703,547.2136578,1994.465099,376.149367,50000
2.36,5555.982681,547.8324437,2001.288628,376.6291744,50000
2.37,5554.961177,548.4483673,2008.106314,377.1055364,50000
2.38,5553.926348,549.0613987,2014.918207,377.5784948,50000
2.39,5552.87835,549.6715082,2021.724358,378.0480916,50000
2.4,5551.817341,550.2786659,2028.524818,378.5143689,50000
2.41,5550.743477,550.8828421,2035.319638,378.9773685,50000
2.42,5549.656915,551.4840068,2042.108868,379.4371324,50000
2.43,5548.557812,552.0821303,2048.89256,379.8937026,50000
2.44,5547.442778,552.6797021,2055.669183,380.3459587,50000
2.45,5546.310978,553.2773977,2062.438346,380.793617,50000
2.46,5545.166232,553.8725838,2069.201733,381.237921,50000
2.47,5544.008666,554.4652528,2075.959381,381.6789021,50000
2.48,5542.838405,555.0553975,2082.711327,382.1165921,50000
2.49,5541.655575,555.6430102,2089.457607,382.5510227,50000
2.5,5540.4603,556.2280835,2096.198259,382.9822254,50000
2.51,5539.252707,556.8106101,2102.933318,383.4102319,50000
2.52,5538.032921,557.3905823,2109.662823,383.8350739,50000
2.53,5536.801066,557.9679928,2116.386809,384.256783,50000
2.54,5535.557268,558.5428341,2123.105313,384.6753908,50000
2.55,5534.301652,559.1150987,2129.818373,385.0909291,50000
2.56,5533.034345,559.6847792,2136.526025,385.5034294,50000
2.57,5531.75547,560.2518681,2143.228305,385.9129234,50000
2.58,5530.465153,560.8163579,2149.925252,386.3194428,50000
2.59,5529.16352,561.3782412,2156.6169,386.7230192,50000
2.6,5527.850696,561.9375106,2163.303288,387.1236842,50000
2.61,5526.526806,562.4941585,2169.984452,387.5214695,50000
2.62,5525.191975,563.0481776,2176.660429,387.9164067,50000
2.63,5523.846329,563.5995603,2183.331255,388.3085276,50000
2.64,5522.489993,564.1482991,2189.996968,388.6978636,50000
2.65,5521.123092,564.6943867,2196.657603,389.0844466,50000
2.66,5519.745752,565.2378156,2203.313199,389.4683081,50000
2.67,5518.358098,565.7785782,2209.963792,389.8494798,50000
2.68,5516.960256,566.3166673,2216.609418,390.2279933,50000
2.69,5515.552349,566.8520751,2223.250114,390.6038802,50000
2.7,5514.133494,567.3851981,2229.885636,390.9769418,50000
2.71,5512.699177,567.9178809,2236.514729,391.3461519,50000
2.72,5511.254435,568.4481542,2243.138797,391.7126624,50000
2.73,5509.799369,568.9760214,2249.75787,392.0764989,50000
2.74,5508.334075,569.5014856,2256.371977,392.437687,50000
2.75,5506.858653,570.0245502,2262.981148,392.7962521,50000
2.76,5505.373201,570.5452182,2269.585412,393.1522199,50000
2.77,5503.877817,571.0634931,2276.184798,393.5056158,50000
2.78,5502.3726,571.579378,2282.779336,393.8564655,50000
2.79,5500.857649,572.0928761,2289.369055,394.2047943,50000
2.8,5499.333061,572.6039908,2295.953983,394.5506279,50000
2.81,5497.798936,573.1127252,2302.534152,394.8939918,50000
2.82,5496.255372,573.6190827,2309.109589,395.2349115,50000
2.83,5494.702468,574.1230664,2315.680325,395.5734126,50000
2.84,5493.140321,574.6246795,2322.246388,395.9095206,50000
2.85,5491.569031,575.1239254,2328.807808,396.2432611,50000
2.86,5489.988695,575.6208073,2335.364614,396.5746595,50000
2.87,5488.399414,576.1153283,2341.916835,396.9037414,50000
2.88,5486.801284,576.6074919,2348.464502,397.2305323,50000
2.89,5485.194404,577.0973011,2355.007643,397.5550578,50000
2.9,5483.578873,577.5847593,2361.546287,397.8773435,50000
2.91,5481.95479,578.0698696,2368.080464,398.1974148,50000
2.92,5480.322253,578.5526354,2374.610203,398.5152973,50000
2.93,5478.68136,579.0330599,2381.135534,398.8310165,50000
2.94,5477.032209,579.5111462,2387.656486,399.1445979,50000
2.95,5475.374901,579.9868977,2394.173087,399.4560672,50000
2.96,5473.709532,580.4603176,2400.685369,399.7654497,50000
2.97,5472.028443,580.9330398,2407.189128,400.069494,50000
2.98,5470.337615,581.4038311,2413.687603,400.37071,50000
2.99,5468.638481,581.8724141,2420.18155,400.6696877,50000
3,5466.931132,582.3387942,2426.670994,400.9664485,50000
3.01,5465.215654,582.8029767,2433.155959,401.2610134,50000
3.02,5463.492136,583.264967,2439.636468,401.5534038,50000
3.03,5461.760667,583.7247704,2446.112545,401.843641,50000
3.04,5460.021334,584.1823924,2452.584213,402.131746,50000
3.05,5458.274227,584.6378384,2459.051498,402.4177403,50000
3.06,5456.519433,585.0911136,2465.514421,402.7016451,50000
3.07,5454.757041,585.5422236,2471.973008,402.9834815,50000
3.08,5452.987139,585.9911735,2478.427282,403.2632708,50000
3.09,5451.209816,586.437969,2484.877267,403.5410344,50000
3.1,5449.425159,586.8826152,2491.322987,403.8167933,50000
3.11,5447.633258,587.3251177,2497.764464,404.0905689,50000
3.12,5445.8342,587.7654817,2504.201724,404.3623825,50000
3.13,5444.028074,588.2037127,2510.63479,404.6322551,50000
3.14,5442.214968,588.639816,2517.063685,404.9002082,50000
3.15,5440.394971,589.073797,2523.488434,405.1662629,50000
3.16,5438.56817,589.505661,2529.909061,405.4304405,50000
3.17,5436.734655,589.9354136,2536.325588,405.6927623,50000
3.18,5434.894513,590.36306,2542.73804,405.9532494,50000
3.19,5433.047833,590.7886056,2549.146441,406.2119231,50000
3.2,5431.194703,591.2120558,2555.550815,406.4688047,50000
3.21,5429.335212,591.6334159,2561.951184,406.7239154,50000
3.22,5427.469447,592.0526915,2568.347574,406.9772765,50000
3.23,5425.597498,592.4698877,2574.740007,407.2289091,50000
3.24,5423.719452,592.8850101,2581.128509,407.4788346,50000
3.25,5421.835398,593.2980639,2587.513101,407.7270742,50000
3.26,5419.945424,593.7090546,2593.893809,407.9736491,50000
3.27,5418.049619,594.1179875,2600.270656,408.2185806,50000
3.28,5416.148071,594.5248681,2606.643665,408.4618899,50000
3.29,5414.240867,594.9297016,2613.012861,408.7035982,50000
3.3,5412.328098,595.3324935,2619.378267,408.9437269,50000
3.31,5410.40985,595.7332492,2625.739908,409.1822971,50000
3.32,5408.486213,596.131974,2632.097806,409.4193301,50000
3.33,5406.557274,596.5286732,2638.451986,409.6548471,50000
3.34,5404.623121,596.9233524,2644.802472,409.8888694,50000
